seller_id,seller_state,state_name,n_orders,n_items,revenue,avg_review_score,n_delivered,pct_late,region,avg_revenue_per_order,revenue_decile,revenue_rank
4869f7a5dfa277a7dca6462dcf3b52b2,SP,São Paulo,1131,1155,229237.63,4.125544899738448,1124.0,11.585365853658537,Southeast,202.6857913351017,1,1
53243585a1d6dc2643021fd1853d8905,BA,Bahia,358,410,222776.05,4.075980392156863,348.0,4.0,Northeast,622.279469273743,1,2
4a3ca9315b744ce9f8e9374361493884,SP,São Paulo,1804,1985,200326.12,3.804591836734694,1772.0,10.979989738327347,Southeast,111.04552106430155,1,3
fa1c13f2614d7b5c4749cbc52fecda94,SP,São Paulo,584,585,192842.13,4.344234079173838,578.0,10.189982728842832,Southeast,330.2091267123288,1,4
7c67e1448b00f6e969d365cea6b010ab,SP,São Paulo,982,1364,187923.89,3.34070796460177,973.0,9.59409594095941,Southeast,191.3685234215886,1,5
7e93a43ef30c4f03f38b393420bc753a,SP,São Paulo,332,336,172583.88,4.2388059701492535,319.0,5.590062111801243,Southeast,519.8309638554217,1,6
da8622b14eb17ae2831f4ac5b9dab84a,SP,São Paulo,1314,1551,160236.57,4.067313915857605,1311.0,7.299741602067184,Southeast,121.9456392694064,1,7
7a67c85e85bb2ce8582c35f2203ad736,SP,São Paulo,1159,1170,141715.54,4.236864771748492,1145.0,5.887445887445888,Southeast,122.273977566868,1,8
1025f0e2d44d7041d6cf58b6550e0bfa,SP,São Paulo,915,1428,138968.55,3.846045197740113,910.0,9.225352112676056,Southeast,151.87819672131147,1,9
955fee9216a65b617aa5c0531780ce60,SP,São Paulo,1286,1498,135159.7,4.052489905787349,1261.0,8.084239130434783,Southeast,105.10085536547435,1,10
46dc3b2cc0980fb8ec44634e21d2718e,RJ,Rio de Janeiro,518,539,127161.22,4.193609022556391,503.0,6.309751434034416,Southeast,245.4849806949807,1,11
6560211a19b47992c3666cc44a7e94c0,SP,São Paulo,1847,2025,122776.83,3.9177467597208375,1819.0,6.212424849699398,Southeast,66.4736491608013,1,12
620c87c171fb2a6dd6e8bb4dec959fc6,RJ,Rio de Janeiro,732,789,113659.4,4.233548387096774,722.0,9.511568123393316,Southeast,155.27240437158468,1,13
7d13fca15225358621be4086e1eb0964,SP,São Paulo,565,578,113628.97,4.001742160278746,558.0,11.908931698774081,Southeast,201.11322123893805,1,14
5dceca129747e92ff8ef7a997dc4f8ca,SP,São Paulo,324,345,112085.63,4.0,322.0,5.830903790087463,Southeast,345.9433024691358,1,15
1f50f920176fa81dab994f9023523100,SP,São Paulo,1403,1930,106889.31,3.989594172736733,1399.0,9.44963655244029,Southeast,76.18625089094796,1,16
cc419e0650a3c5ba77189a1882b7556a,SP,São Paulo,1697,1766,103634.51,4.07679180887372,1651.0,5.991855730075625,Southeast,61.06924572775486,1,17
a1043bafd471dff536d0c462352beb48,MG,Minas Gerais,715,767,101483.16,4.197385620915033,702.0,5.585106382978723,Southeast,141.93448951048953,1,18
3d871de0142ce09b7081e2b9d1733cb1,SP,São Paulo,1076,1143,94508.2,4.122015915119364,1064.0,5.92396109637489,Southeast,87.83289962825279,1,19
edb1ef5e36e0c8cd84eb3c9b003e486d,RJ,Rio de Janeiro,166,175,79284.55,4.434285714285714,165.0,7.471264367816093,Southeast,477.6177710843374,1,20
ccc4bbb5f32a6ab2b7066a4130f114e3,PR,Paraná,187,192,74004.62,4.282722513089006,184.0,7.4074074074074066,South,395.7466310160428,1,21
f7ba60f8c3f99e7ee4042fdef03b70c4,SP,São Paulo,219,230,68395.0,4.2043478260869565,218.0,16.593886462882097,Southeast,312.30593607305934,1,22
fe2032dab1a61af8794248c8196565c9,SP,São Paulo,294,306,65959.61,4.3841059602649,293.0,8.524590163934425,Southeast,224.35241496598638,1,23
8581055ce74af1daba164fdbd55a40de,SP,São Paulo,385,432,64549.42,4.229698375870069,379.0,9.859154929577464,Southeast,167.66083116883115,1,24
cca3071e3e9bb7d12640c9fbe2301306,SP,São Paulo,711,829,63984.99,3.854679802955665,699.0,5.385556915544676,Southeast,89.99295358649789,1,25
04308b1ee57b6625f47df1d56f00eedf,SC,Santa Catarina,94,94,60130.6,3.882978723404255,92.0,11.956521739130435,South,639.6872340425532,1,26
522620dcb18a6b31cd7bdf73665113a9,PR,Paraná,174,180,57168.49,3.897727272727273,172.0,10.112359550561797,South,328.55454022988505,1,27
17e34d8224d27a541263c4c64b11a56b,SP,São Paulo,253,266,55470.32,4.162878787878788,247.0,8.076923076923077,Southeast,219.2502766798419,1,28
de722cd6dad950a92b7d4f82673f8833,PE,Pernambuco,339,379,55426.1,4.159151193633952,337.0,3.978779840848806,Northeast,163.49882005899704,1,29
7ddcbb64b5bc1ef36ca8c151f6ec77df,SP,São Paulo,332,341,55375.590000000004,3.923076923076923,325.0,8.383233532934131,Southeast,166.79394578313253,1,30
37be5a7c751166fbc5f8ccba4119e043,SP,São Paulo,272,281,55350.55,4.3140794223826715,269.0,2.5179856115107913,Southeast,203.49466911764708,1,31
218d46b86c1881d022bce9c68a7d4b15,SP,São Paulo,387,425,54699.3,4.144208037825059,382.0,9.047619047619047,Southeast,141.3418604651163,1,32
25c5c91f63607446a97b143d2d535d31,MG,Minas Gerais,158,269,54679.22,3.7313432835820897,156.0,6.015037593984962,Southeast,346.07101265822786,1,33
ceaec5548eefc6e23e6607c5435102e7,SP,São Paulo,201,209,52487.18,4.165048543689321,198.0,5.825242718446602,Southeast,261.1302487562189,1,34
